Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
The Haunting in Connecticut 2: Ghosts of Georgia,Ingles,"A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.",2013-02-01,23.934,434,5.8,9000000,0,101,"Drama, Horror, Thriller",Singapore,R,Tom Elkins,Abigail Spencer|Morgana Shaw|Emily Alyn Lind|Chad Michael Murray|Grant James|Katee Sackhoff|Mary Louise Coffee|Lauren Pennington|Sam Polin|Lance E. Nichols|Jaren Mitchell|Cicely Tyson|Brad James|Wayne Pére|Hunter Burke,"Baton Rouge, Louisiana, USA",Terror psicológico
"I, Frankenstein",Ingles,"200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.",2014-01-22,23.863,1623,5.3,65000000,76801179,92,"Horror, Thriller",USA,PG-13,Stuart Beattie,Aaron Eckhart|Yvonne Strahovski|Miranda Otto|Bill Nighy|Jai Courtney|Socratis Otto|Aden Young|Caitlin Stasey|Mahesh Jadu|Steve Mouzakis|Nicholas Bell|Deniz Akdeniz|Chris Pang|Kevin Grevioux|Bruce Spence,"Melbourne, Victoria, Australia",Slasher
Leprechaun: Origins,Ingles,Two young couples backpacking through Ireland discover that one of Ireland's most famous legends is a terrifying reality.,2014-08-22,23.492,195,4.7,0,0,90,Horror,USA,R,Zach Lipovsky,Dylan Postl|Stephanie Bennett|Andrew Dunbar|Melissa Roxburgh|Brendan Fletcher|Garry Chalk|Teach Grant|Bruce Blain|Mary Black|Emilie Ullerup|Adam Boys|Gary Peterman,"Vancouver, British Columbia, Canada",Terror puro
The Collection,Ingles,"Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena.",2012-09-21,23.464,833,6.3,0,6842058,82,"Horror, Thriller",USA,R,Marcus Dunstan,Josh Stewart|Emma Fitzpatrick|Christopher McDonald|Lee Tergesen|Tim Griffin|Andre Royo|Randall Archer|Shannon Kane|Brandon Molale|Erin Way|Johanna Braddy|Michael Nardelli|Will Peltz|Daniel Sharman|Justin Mortelliti,"Los Angeles, California, USA",Slasher
Satan's Slaves,Indonesio,"After the death of Rini's mother, something is disturbing her family.",2017-09-28,23.425,192,6.7,147983,0,107,"Drama, Horror, Mystery",Indonesia,NOT RATED,Joko Anwar,Bront Palarae|Tara Basro|Endy Arfian|Dimas Aditya|Nasar Annuz|M. Adhiyat|Ayu Laksmi|Egy Fedly|Arswendi Nasution|Elly D. Luthan|Fachry Albar|Asmara Abigail,Desconocido,Terror psicológico
V/H/S,Ingles,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire one rare VHS tape, they discover more found footage than they had bargained for.",2012-07-28,23.35,1217,6.1,0,100345,116,"Horror, Thriller",Russia,R,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett",Calvin Reeder|Lane Hughes|Kentucker Audley|Adam Wingard|Frank Stack|Sarah Byrne|Melissa Boatright|Simon Barrett|Andrew Droz Palermo|Hannah Fierman|Mike Donlan|Joe Sykes|Drew Sawyer|Jasper Sams|Nicholas Tecosky,"2606 N. Madison Avenue, Altadena, California, USA",Slasher
Sadako vs. Kayako,Japones,"A girl, Yūri Kurahashi, after watching a cursed videotape together with her friend in a haunted house, becomes trapped in a conflict between the two murderous ghosts: Sadako Yamamura and Kayako Saeki",2016-06-18,23.105,168,5.4,0,8992523,98,Horror,Japan,NOT RATED,Kôji Shiraishi,Mizuki Yamamoto|Tina Tamashiro|Aimi Satsukawa|Misato Tanaka|Masahiro Kômoto|Masanobu Andô|Ichiruko Dômen|Runa Endo|Maiko Kikuchi|Masayoshi Matsushima|Elly Nanami|Rintaro Shibamoto,Desconocido,Terror puro
Red Eye,Ingles,"A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician.",2005-08-19,23.036,1546,6.3,26000000,57891803,85,"Horror, Thriller",USA,NOT RATED,Tristan Clay,Jessica Cameron|Heather Dorff|Clayton Abbott|Destinie Orndoff|Hayden Wilberger|Scott King,"Kentucky, USA",Slasher
Rape Zombie: Lust of the Dead 3,Japones,The zombies that arose after the nuclear outbreak are still high in numbers. The group of girls have lost some of their comrades and are fighting off the horny zombies to stay alive themselves. Can they stop the plague for once and for all?,2013-03-23,23.014,19,5.9,0,0,68,"Comedy, Horror",USA,NOT RATED,Naoyuki Tomomatsu,Yui Aikawa|Asami|Iona|Saya Kobayashi|Ayumi Kuroki|Takeshi Nakazawa|Alice Ozawa|Tomoaki Sandan,Desconocido,Terror cómico
The Bad Batch,Ingles,Arlen is sent to a fenced-off wasteland where undesirables are exiled to when she is kidnapped by a group of cannibals. She escapes and ends up on a journey to reunite a missing girl with her father.,2017-06-23,22.996,895,5.2,6000000,180851,119,"Drama, Horror, Science Fiction",USA,R,Ana Lily Amirpour,Suki Waterhouse|Jason Momoa|Jayda Fink|Keanu Reeves|Jim Carrey|Yolonda Ross|Aye Hasegawa|Giovanni Ribisi|Louie Lopez Jr.|E.R. Ruiz|Cory Roberts|Joni Podesta|Almayvonne|Danielle Orner|Mandy Pursley,"Los Angeles, California, USA",Terror de ciencia ficción
Creep,Ingles,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.",2014-06-23,22.994,1089,6.4,0,0,82,Horror,USA,R,Patrick Brice,Patrick Brice|Mark Duplass,"Crestline, California, USA",Terror puro
Zombeavers,Ingles,College friends find their weekend of sex and debauchery ruined when deadly zombie beavers swarm their riverside cabin.,2014-10-20,22.944,563,4.9,0,14947,85,"Action, Comedy, Horror",USA,R,Jordan Rubin,Rachel Melvin|Cortney Palm|Lexi Atkins|Hutch Dano|Jake Weary|Peter Gilroy|Rex Linn|Brent Briscoe|Phyllis Katz|Robert R. Shafer|Bill Burr|John Mayer|Jordan Rubin|Sonny Tanning|Fred Tatasciore,"Santa Clarita, California, USA",Terror cómico
Raw,Frances,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.",2016-11-11,22.941,2681,7.1,3500000,4100000,99,"Comedy, Drama, Horror",France,R,Julia Ducournau,Garance Marillier|Ella Rumpf|Rabah Nait Oufella|Laurent Lucas|Joana Preiss|Bouli Lanners|Marion Vernoux|Thomas Mustin|Marouan Iddoub|Jean-Louis Sbille|Benjamin Boutboul|Virgil Leclaire|Anna Solomin|Sophie Breyer|Danel Utegenova,"Université de Liège, Sart-Tilman, Liège, Wallonia, Belgium",Terror cómico
Creep 2,Ingles,"After finding an ad online for “video work,” Sara, a video artist whose primary focus is creating intimacy with lonely men, thinks she may have found the subject of her dreams. She drives to a remote house in the forest and meets a man claiming to be a serial killer. Unable to resist the chance to create a truly shocking piece of art, she agrees to spend the day with him. However, as the day goes on, she discovers she may have dug herself into a hole from which she can’t escape.",2017-10-14,22.877,615,6.3,0,0,80,"Horror, Thriller",USA,NOT RATED,Patrick Brice,Karan Soni|Mark Duplass|Desiree Akhavan|Kyle Field|Caveh Zahedi|Jeff Man|Patrick Brice,Desconocido,Slasher
The Woman in Black,Ingles,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",2012-02-03,22.819,3088,6.1,17000000,127730736,95,"Drama, Horror, Thriller",USA,PG-13,James Watkins,Emma Shorey|Molly Harmon|Ellisa Walker-Reid|Sophie Stuckey|Daniel Radcliffe|Misha Handley|Jessica Raine|Roger Allam|Lucy May Barker|Indira Ainger|Andy Robb|Ciarán Hinds|Shaun Dooley|Mary Stockley|Alexia Osborne,"The Causeway to Osea Island, Maldon, Essex, England",Terror psicológico
Incarnate,Ingles,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,2016-12-01,22.736,477,5.3,5000000,6341855,91,"Horror, Thriller",USA,PG-13,Brad Peyton,Aaron Eckhart|Carice van Houten|Catalina Sandino Moreno|David Mazouz|Keir O'Donnell|Matt Nable|Emily Jackson|Paul Vincent O'Connor|Natalija Nogulich|John Pirruccello|Petra Sprecher|Breanne Hill|Emjay Anthony|Vanya Asher|Karolina Wydra,"Los Angeles, California, USA",Slasher
Deliver Us from Evil,Ingles,"When a frightening wave of violence sweeps through New York City, troubled cop Sarchie fails to find a rational explanation for the bizarre crimes. However, his eyes are opened to a frightening alternate reality when renegade Jesuit priest Mendoza convinces him that demonic possession may be to blame for the gruesome murders. Together, they wage a valiant supernatural struggle to rid the city of an otherworldly evil.",2014-07-01,22.676,1760,6.2,30000000,87937815,118,"Crime, Horror, Thriller",USA,R,Scott Derrickson,Eric Bana|Edgar Ramírez|Olivia Munn|Chris Coy|Dorian Missick|Sean Harris|Joel McHale|Mike Houston|Lulu Wilson|Olivia Horton|Scott Johnsen|Daniel Sauli|Antoinette LaVecchia|Aidan Gemme|Jenna Gavigan,"New York City, New York, USA",Slasher
The Bar,Español,"In downtown Madrid, a series of mysterious gunshots trap a motley assortment of people in a decrepit bar.",2017-02-15,22.662,1149,6.3,6045750,3662671,102,"Comedy, Horror, Thriller",Spain,NOT RATED,Álex de la Iglesia,Blanca Suárez|Mario Casas|Carmen Machi|Secun de la Rosa|Jaime Ordóñez|Terele Pávez|Joaquín Climent|Alejandro Awada|Jordi Aguilar|Diego Braguinsky|Mamen García|Daniel Arribas|Paco Sarro|Mari Giner|Tony Lam,"Marcador cerca de Plaza Mostenses, 28015, Madrid, Spain",Terror cómico
mother!,Ingles,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",2017-09-13,22.57,5863,7.0,30000000,44516999,121,"Drama, Horror, Mystery",USA,R,Darren Aronofsky,Jennifer Lawrence|Javier Bardem|Ed Harris|Michelle Pfeiffer|Brian Gleeson|Domhnall Gleeson|Jovan Adepo|Amanda Chiu|Patricia Summersett|Eric Davis|Raphael Grosz-Harvey|Emily Hampshire|Abraham Aronofsky|Luis Oliva|Stephanie Ng Wan,"Montréal, Québec, Canada",Terror psicológico
Haunt,Ingles,"On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",2019-09-13,22.407,858,6.7,0,0,92,"Horror, Thriller",Kuwait,R,Mac Carter,Harrison Gilbertson|Liana Liberato|Jacki Weaver|Ione Skye|Brian Wimmer|Danielle Chuchran|Ella Harris|Carl Hadra|Sebastian Michael Barr|Brooke Kelly|Maggie Scott|Jan Broberg|Aline Andrade|Jarrod Phillips|Kasia Kowalczyk,"Salt Lake City, Utah, USA",Slasher
Blair Witch,Ingles,Students on a camping trip discover something sinister is lurking beyond the trees.,2016-09-15,22.395,1663,5.2,5000000,45172994,89,"Horror, Thriller",USA,R,Adam Wingard,James Allen McCune|Callie Hernandez|Corbin Reid|Brandon Scott|Wes Robinson|Valorie Curry,"Vancouver, British Columbia, Canada",Slasher
The Forest,Ingles,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",2016-01-07,22.17,1543,5.2,10000000,37608299,95,"Horror, Mystery, Thriller",USA,NOT RATED,Paul Spurrier,Tanapol Kamkunkam|Thidarat Kongkaew|Natpatson Lhakkum|Vithaya Pansringarm|Asanee Suwan|Pongsanart Vinsiri|Ramphai Wintawong|Wannasa Wintawong,Desconocido,Terror psicológico
Zombies,Español,"While on the run from zombies, a couple begin to have some relationship issues.",2014-11-01,22.169,2,4.0,0,0,9,"Comedy, Horror",USA,NOT RATED,Hamid Torabpour,Tony Todd|Steven Luke|Raina Hein|Amanda Day|Aaron Courteau|Marcus Dee|Heidi Fellner|Todd Vance|Jim Westcott|Amber Rhodes|Brian Thoe|Bruce Miller|Cameron Cylkowski|Aundrea Smith|Cody Fleury,"Owatonna, Minnesota, USA",Terror cómico
As the Gods Will,Japones,"High school student Shun Takahata is bored. Bored with the day-to-day monotony of school and life, he prays for change, for something exciting. Suddenly, he and his classmates are forced to play deadly children's games and facing terrifying creatures from a talking Daruma doll to a sharp-clawed lucky cat.",2014-11-15,21.758,361,7.2,0,0,117,"Comedy, Horror, Thriller",Japan,NOT RATED,Takashi Miike,Ryûnosuke Kamiki|Shôta Sometani|Sôta Fukushi|Nao Ohmori|Lily Franky|Atsuko Maeda|Hirona Yamazaki|Mio Yûki|Jingi Irie|Rima Matsuda|Rena Shimura,Desconocido,Terror cómico
Circle,Ingles,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room.",2015-05-28,21.724,1625,6.0,0,0,87,"Drama, Horror, Mystery, Science Fiction, Thriller",USA,NOT RATED,"Aaron Hann, Mario Miscione",Allegra Masters|Aimee McKay|Ashley Key|Autumn Federici|Bill Lewis|Brent Stiefel|Cameron Cruz|Carter Jenkins|Cesar Garcia|Coley Speaks|Daniel Lench|Daniel Yelsky|David Reivers|David Saucedo|DeMaris Gordon,Desconocido,Terror de ciencia ficción
The Devil Inside,Ingles,"In Italy, a woman becomes involved in a series of unauthorized exorcisms during her mission to discover what happened to her mother, who allegedly murdered three people during her own exorcism.",2012-01-06,21.514,678,4.7,1000000,101758490,83,"Horror, Thriller",USA,R,William Brent Bell,Fernanda Andrade|Simon Quarterman|Evan Helmuth|Ionut Grama|Suzan Crowley|Bonnie Morgan|Brian Johnson|Jeff Victoroff|Pamela Davis|John Prosky|Claudiu Istodor|Toma Danila|Claudiu Trandafir|Maria Junghetu|Ilinca Harnut,"MediaPro Studios, Bucharest, Romania",Slasher
Don't Knock Twice,Ingles,A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,2017-02-03,21.327,643,5.5,0,0,93,Horror,USA,R,Caradog W. James,Katee Sackhoff|Lucy Boynton|Richard Mylan|Nick Moran|Pascale Wilson|Javier Botet|Pooneh Hajimohammadi|Sarah Buckland|Jordan Bolger|Ania Marson|Callum Griffiths|Lee Fenwick|David Broughton-Davies|Melissa Woodbridge|Michael Lindall,"Wales, UK",Terror puro
I Am a Hero,Japones,"Hideo Suzuki is a 35-year-old mangaka assistant, whose life seem to be stuck around his exhausting but low-paying job, unfulfilled dreams, strange hallucinations and unsatisfying relationships. He sees himself as a supporting character in his own life, has low self-esteem, resulting in frustration. One day, the world as Hideo knows it is shattered by the presence of a disease that turns people into homicidal maniacs, whose first instinct is to attack and devour the nearest human.",2016-04-23,21.06,295,7.3,0,0,126,"Action, Drama, Horror",Japan,NOT RATED,Shinsuke Sato,Masami Nagasawa|Kasumi Arimura|Miho Suzuki|Yô Ôizumi|Nana Katase|Hisashi Yoshizawa|Yoshinori Okada|Yu Tokui|Makita Sports|Toshifumi Muramatsu|Natsu Andô|Jin Katagiri|Muga Tsukaji|Kazunori Kaneko,Desconocido,Terror psicológico
Devil's Due,Ingles,An unexpected pregnancy takes a terrifying turn for newlyweds Zach and Samantha McCall.,2014-01-08,20.748,448,4.6,7000000,36433975,89,Horror,USA,R,"Matt Bettinelli-Olpin, Tyler Gillett",Allison Miller|Zach Gilford|Sam Anderson|Roger Payano|Vanessa Ray|Bill Martin Williams|Geraldine Singer|Julia Denton|Colin Walker|Madison Wolfe|Joshua Shane Brooks|Aimee Carrero|Robert Belushi|DeMaris Gordon|Donna Duplantier,"Zoetry Agua Punta Cana, Dominican Republic",Terror puro
