original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,titulos minuscula,Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget
Malignant,Malignant,en,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",A new vision of terror.,2021-09-01,/dGv2BWjzwAz6LB8a8JeRIZL8hSz.jpg,88.071,1647,6.9,40000000,24640084,111,Released,False,/eG58uvQKZFAFxAFYC01HWMibRfa.jpg,"Horror, Mystery, Thriller",,,malignant,Malignant, Horror| Sci-Fi| Thriller,22-May-14,USA,NOT RATED,4.4,85 min,"Directed by Brian Avenet-Bradley. With Gary Cairns, Brad Dourif, Nick Nicotera, Sienna Farall. After the death of his wife, a grieving man becomes the victim of a horrific experiment to cure his addiction.",Gary Cairns|Brad Dourif|Nick Nicotera|Sienna Farall|Stefan Avalos|Jennifer Blanc-Biehn|Dana Daurey|Tanner Davis|Ken Dickason|Karla Droege|Saidah Arrika Ekulona|Darren P. Leis|Thomas Loureiro|Suzan Meier|Trista Robinson,English,,
Split,Split,en,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",Kevin has 23 distinct personalities. The 24th is about to be unleashed.,2016-11-15,/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg,85.707,15360,7.3,9000000,278454358,117,Released,False,/9pkZesKMnblFfKxEhQx45YQ2kIe.jpg,"Horror, Thriller",,,split,Split, Horror| Thriller,20-Jan-17,USA,PG-13,7.3,117 min,"Directed by M. Night Shyamalan. With James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula. Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.",James McAvoy|Anya Taylor-Joy|Betty Buckley|Haley Lu Richardson|Jessica Sula|Izzie Coffey|Brad William Henke|Sebastian Arcelus|Neal Huff|Ukee Washington|Ann Wood|Robert Michael Kelly|M. Night Shyamalan|Rosemary Howard|Jerome Gallman,English,"Sun Center Studios, Aston, Pennsylvania, USA","$9,000,000 "
Before I Wake,Before I Wake,en,An orphaned child's dreams—and nightmares—manifest physically as he sleeps.,Fear your dreams.,2016-04-07,/sI9neTbF3ECdpf2MpC88EMGJH13.jpg,84.773,1560,6.4,0,3295624,97,Released,False,/cxLyFqVcXbuf6P5dl14LBPQrRFr.jpg,"Drama, Fantasy, Horror, Thriller",,,beforeiwake,Before I Wake, Drama| Fantasy| Horror| Thriller,2017,USA,PG-13,6.1,97 min,"Directed by Mike Flanagan. With Kate Bosworth, Thomas Jane, Jacob Tremblay, Annabeth Gish. A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.",Kate Bosworth|Thomas Jane|Jacob Tremblay|Annabeth Gish|Topher Bousquet|Dash Mihok|Jay Karnes|Lance E. Nichols|Antonio Evan Romero|Kyla Deaver|Hunter Wenzel|Scottie Thompson|Jason Alan Smith|Michael Polish|Brett Luciana Murray,English,"Fairhope, Alabama, USA",
Curse of Chucky,Curse of Chucky,en,"After the passing of her mother, Nica Pierce, a young woman in a wheelchair, is forced to deal with her sister, brother-in-law, niece and their nanny as they say their goodbyes to mother. But when people start turning up dead, Nica discovers the culprit might be a strange doll she received a few days earlier.",Fear has a new home.,2013-10-04,/x9DzkDWp8O82Wzxk6otuD9bce9a.jpg,82.858,1280,5.9,5000000,3800000,97,Released,False,/h9pt74NuKn0z5L3RPv3VbCzxGcS.jpg,"Horror, Thriller",10455.0,Child's Play Collection,curseofchucky,Curse of Chucky, Horror| Thriller,24-Sep-13,USA,R,5.7,97 min,"Directed by Don Mancini. With Chantal Quesnelle, Fiona Dourif, Jordan Gavaris, Danielle Bisutti. After her mother's mysterious death, Nica begins to suspect that the talking, red-haired doll her visiting niece has been playing with may be the key to recent bloodshed and chaos.",Chantal Quesnelle|Fiona Dourif|Jordan Gavaris|Danielle Bisutti|A Martinez|Maitland McConnell|Brennan Elliott|Summer H. Howell|Adam Hurtig|Darren Wall|Will Woytowich|Anne Leveille|Kally Berard|Kyle Nobess|Brad Dourif,English,"Winnipeg, Manitoba, Canada","$5,000,000 "
The Purge,The Purge,en,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.","One night a year, all crime is legal.",2013-05-31,/x6hwbnR2nGacSzljqYaXY25w1Me.jpg,81.585,7386,6.3,3000000,89328627,86,Released,False,/9J3HHP3kQ5ZStyirJyWPWtvvrHY.jpg,"Horror, Science Fiction, Thriller",256322.0,The Purge Collection,thepurge,The Purge, Horror| Sci-Fi| Thriller,7-Jun-13,USA,R,5.7,85 min,"Directed by James DeMonaco. With Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane. A wealthy family are held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.",Ethan Hawke|Lena Headey|Max Burkholder|Adelaide Kane|Edwin Hodge|Rhys Wakefield|Tony Oller|Arija Bareikis|Tom Yi|Chris Mulkey|Tisha French|Dana Bunch|Peter Gvozdas|John Weselcouch|Alicia Vela-Bailey,English,"Chatsworth, Los Angeles, California, USA","$3,000,000 "
Annabelle: Creation,Annabelle: Creation,en,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",You don't know the real story,2017-08-03,/snYI6TDLkB8wL7SHFyBV6qkJuPx.jpg,81.021,4859,6.6,15000000,306515884,110,Released,False,/o8u0NyEigCEaZHBdCYTRfXR8U4i.jpg,"Horror, Mystery, Thriller",402074.0,Annabelle Collection,annabellecreation,Annabelle: Creation, Horror| Mystery| Thriller,11-Aug-17,USA,R,6.7,109 min,"Directed by David F. Sandberg. With Anthony LaPaglia, Samara Lee, Miranda Otto, Brad Greenquist. 12 years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they soon become the target of the dollmaker's possessed creation, Annabelle.",Anthony LaPaglia|Samara Lee|Miranda Otto|Brad Greenquist|Lulu Wilson|Talitha Eliana Bateman|Stephanie Sigman|Mark Bramhall|Grace Fulton|Philippa Coulthard|Tayler Buck|Lou Lou Safran|Joseph Bishara|Alicia Vela-Bailey|Lotta Losten,English|Spanish,"Los Angeles, California, USA","$15,000,000 "
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,en,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",Classic tale. New twist.,2013-01-17,/j343Rpj3WeNvP0SV80zveve70io.jpg,75.4,6015,6.0,50000000,226349749,88,Released,False,/mJSe5dxKu8Sq0GfdjdWVqdGvzfV.jpg,"Action, Fantasy, Horror",,,hansel&gretelwitchhunters,Hansel & Gretel: Witch Hunters, Action| Fantasy| Horror,25-Jan-13,USA,R,6.1,88 min,"Directed by Tommy Wirkola. With Jeremy Renner, Gemma Arterton, Peter Stormare, Famke Janssen. Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past.",Jeremy Renner|Gemma Arterton|Famke Janssen|Pihla Viitala|Derek Mears|Robin Atkin Downes|Ingrid Bolsø Berdal|Joanna Kulig|Thomas Mann|Peter Stormare|Bjørn Sundquist|Rainer Bock|Thomas Scharff|Kathrin Kühnel|Cedric Eich,English,"Sächsische Schweiz, Saxony, Germany","$50,000,000 "
Alien: Covenant,Alien: Covenant,en,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",The path to paradise begins in hell.,2017-05-09,/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,73.672,7298,6.1,97000000,240891763,122,Released,False,/6jajFcaY2YsfGQstJ5HaqZNVseX.jpg,"Horror, Mystery, Science Fiction",135416.0,Prometheus Collection,aliencovenant,Alien: Covenant, Horror| Sci-Fi| Thriller,19-May-17,USA,R,6.5,122 min,"Directed by Ridley Scott. With Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride. The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Michael Fassbender|Katherine Waterston|Billy Crudup|Danny McBride|Demián Bichir|Carmen Ejogo|Jussie Smollett|Callie Hernandez|Amy Seimetz|Nathaniel Dean|Alexander England|Benjamin Rigby|Uli Latukefu|Tess Haubrich|Lorelei King,English,"Fox Studios, Moore Park, Sydney, New South Wales, Australia","$97,000,000 "
Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,en,"Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighbor’s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that won’t rest until it’s claimed his very soul.",Once Marked It Is Already Too Late.,2014-01-01,/4srdg5SoxREXha5kibwZBvsqNtV.jpg,73.028,1235,5.4,5000000,86362372,84,Released,False,/eAISoFMi29BVBKH1VRpne4mJ26K.jpg,"Horror, Thriller",41437.0,Paranormal Activity Collection,paranormalactivitythemarkedones,Paranormal Activity: The Marked Ones, Horror| Thriller,3-Jan-14,USA,R,5.0,84 min,"Directed by Christopher Landon. With Andrew Jacobs, Jorge Diaz, Gabrielle Walsh, Gloria Sandoval. When a young man becomes the target of a malevolent entity, he must uncover its true intentions before it takes complete control of him.",Andrew Jacobs|Jorge Diaz|Gabrielle Walsh|Renee Victor|Noemi Gonzalez|David Saucedo|Gloria Sandoval|Richard Cabral|Carlos Pratts|Juan Vasquez|Carlos Romeo Arana Figuera|Molly Ephraim|Brent Gutierrez|Alonso Alvarez|Chris Puckett,English|Spanish,"Los Angeles, California, USA","$5,000,000 "
Goosebumps,Goosebumps,en,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",The stories are alive.,2015-08-05,/aeZT9pqEgrmXOGdESFkAuVjX6kw.jpg,72.726,3302,6.3,58000000,158162788,103,Released,False,/6mPe4rBHzDMal2oL6hVgOBkaHz9.jpg,"Adventure, Comedy, Horror",508783.0,Goosebumps Collection,goosebumps,Goosebumps, Adventure| Comedy| Family| Fantasy| Horror,16-Oct-15,USA,PG,6.3,103 min,"Directed by Rob Letterman. With Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee. A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",Jack Black|Dylan Minnette|Odeya Rush|Ryan Lee|Amy Ryan|Jillian Bell|Halston Sage|Steven Krueger|Keith Arthur Bolden|Amanda Lund|Timothy Simons|Ken Marino|Karan Soni|R.L. Stine|Caleb Emery,English,"Conyers, Georgia, USA","$58,000,000 "
Carrie,Carrie,en,"Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.",If only they knew she had the power,2002-11-04,/knjeEeeyIwDkUtZwDfJOcUIuNdB.jpg,71.769,379,6.1,0,0,132,Released,False,/8z5qtVE2N3AuA3bmvIQsI10Wjg8.jpg,"Drama, Horror, TV Movie",,,carrie,Carrie, Drama| Horror,18-Oct-13,USA,R,5.9,100 min,"Directed by Kimberly Peirce. With Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday. A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",Julianne Moore|Chloë Grace Moretz|Gabriella Wilde|Portia Doubleday|Zoë Belkin|Samantha Weinstein|Karissa Strain|Katie Strain|Ansel Elgort|Demetrius Joyette|Judy Greer|Barry Shabaka Henley|Arlene Mazerolle|Evan Gilchrist|Eddie Max Huband,English,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada","$30,000,000 "
The Witch,The Witch,en,"In 1630, a farmer relocates his family to a remote plot of land on the edge of a forest where strange, unsettling things happen. With suspicion and paranoia mounting, each family member's faith, loyalty and love are tested in shocking ways.",Evil takes many forms.,2015-01-27,/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg,69.655,5790,6.9,3500000,40423945,92,Released,False,/zi2oYYNSSv7t44iSt5YrxHX9PYs.jpg,"Drama, Fantasy, Horror, Mystery",,,thewitch,The Witch, Horror| Mystery,19-Feb-16,USA,R,6.8,92 min,"Directed by Robert Eggers. With Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings. A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger|Lucas Dawson|Julian Richings|Bathsheba Garnett|Sarah Stephens|Daniel Chaudhry|Axtun Henry Dube|Athan Conrad Dube|Viv Moore|Karen Kaeja|Brandy Leary,English,"Kiosk, Ontario, Canada","$3,500,000 "
Get Out,Get Out,en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","Just because you're invited, doesn't mean you're welcome.",2017-02-24,/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg,68.431,14721,7.6,4500000,255407969,104,Released,False,/cAduIGrwDJlypHUCL2mFelJXVRT.jpg,"Horror, Mystery, Thriller",,,getout,Get Out, Horror| Mystery| Thriller,24-Feb-17,USA,R,7.7,104 min,"Directed by Jordan Peele. With Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener. It's time for a young African American to meet with his white girlfriend's parents for a weekend in their secluded estate in the woods, but before long, the friendly and polite ambience will give way to a nightmare.",Daniel Kaluuya|Allison Williams|Catherine Keener|Bradley Whitford|Caleb Landry Jones|Marcus Henderson|Betty Gabriel|Lakeith Stanfield|Stephen Root|LilRel Howery|Ashley LeConte Campbell|John Wilmot|Caren L. Larkey|Julie Ann Doan|Rutherford Cravens,English,"Alabama, USA","$5,000,000 "
Annabelle,Annabelle,en,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,"Before the Conjuring, there was Annabelle.",2014-10-02,/a9iL3FIwLrympRyiL5v0tAkwrvX.jpg,68.243,5341,5.7,6500000,257047661,99,Released,False,/2gKX53lskaCYk9ycXmaDJKqWiy.jpg,Horror,402074.0,Annabelle Collection,annabelle,Annabelle, Horror| Mystery| Thriller,3-Oct-14,USA,R,5.4,99 min,"Directed by John R. Leonetti, James Wan. With Ward Horton, Annabelle Wallis, Alfre Woodard, Tony Amendola. A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.",Annabelle Wallis|Ward Horton|Tony Amendola|Alfre Woodard|Kerry O'Malley|Brian Howe|Eric Ladin|Ivar Brogger|Geoff Wehner|Gabriel Bateman|Shiloh Nelson|Sasha Sheldon|Camden Singer|Robin Pearson Rose|Keira Daniels,English,"Langham Apartments - 715 South Normandie Avenue, Los Angeles, California, USA","$6,500,000 "
Insidious: Chapter 2,Insidious: Chapter 2,en,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,It will take what you love most.,2013-09-12,/w5JjiB3O1CLDXbTJe1QpU5RHmlU.jpg,68.172,3528,6.7,5000000,161000000,106,Released,False,/uwivrZ7vIeP0HNkE5gKavzhZNpG.jpg,"Horror, Thriller",228446.0,Insidious Collection,insidiouschapter2,Insidious: Chapter 2, Horror| Mystery| Thriller,13-Sep-13,USA,PG-13,6.6,106 min,"Directed by James Wan. With Patrick Wilson, Rose Byrne, Barbara Hershey, Lin Shaye. The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.",Patrick Wilson|Rose Byrne|Ty Simpkins|Lin Shaye|Barbara Hershey|Steve Coulter|Leigh Whannell|Angus Sampson|Andrew Astor|Hank Harris|Jocelin Donahue|Lindsay Seim|Danielle Bisutti|Tyler Griffin|Garrett Ryan,English,"Los Angeles, California, USA","$5,000,000 "
Underworld: Awakening,Underworld: Awakening,en,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",Vengeance Returns,2012-01-19,/jN0uuc8U6M3sTg9zEaliJV60Stf.jpg,67.467,3573,6.3,70000000,160112671,88,Released,False,/v63E5H5TD7Eay1gZPVt9ibP9riy.jpg,"Action, Fantasy, Horror",2326.0,Underworld Collection,underworldawakening,Underworld Awakening, Action| Fantasy| Horror,20-Jan-12,USA,R,6.4,88 min,"Directed by Måns Mårlind, Björn Stein. With Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea. When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",Kate Beckinsale|Stephen Rea|Michael Ealy|Theo James|India Eisley|Sandrine Holt|Charles Dance|Kris Holden-Ried|Jacob Blair|Adam Greydon Reid|Catlin Adams|Robert Lawrenson|Lee Majdoub|John Innes|Tyler McClendon,English|Russian,"Simon Fraser University, Burnaby, British Columbia, Canada","$70,000,000 "
Scouts Guide to the Zombie Apocalypse,Scouts Guide to the Zombie Apocalypse,en,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",Always bring protection.,2015-10-23,/lUKvvSnjFlazrdh6wyHxHrdMknD.jpg,66.029,1580,6.5,15000000,14860766,93,Released,False,/hUpHXyLRNvtt0AAwdPmUsSQQKB8.jpg,"Comedy, Horror",,,scoutsguidetothezombieapocalypse,Scouts Guide to the Zombie Apocalypse, Action| Comedy| Horror,30-Oct-15,USA,R,6.3,93 min,"Directed by Christopher Landon. With Tye Sheridan, Logan Miller, Joey Morgan, Sarah Dumont. Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner|Halston Sage|Cloris Leachman|Niki Koss|Hiram A. Murray|Lukas Gage|Drew Droege|Patrick Schwarzenegger|Blake Anderson|Elle Evans|Matty Cardarople,English,"Santa Clarita, California, USA","$15,000,000 "
Sinister,Sinister,en,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity.","Once you see him, nothing can save you.",2012-03-29,/nzx10sca3arCeYBAomHan4Q6wa1.jpg,65.319,4563,6.8,3000000,82515113,110,Released,False,/6WvJAj4OigLvnhIxgkfrOmjSJz2.jpg,"Horror, Mystery, Thriller",357173.0,Sinister Collection,sinister,Sinister, Horror| Mystery| Thriller,12-Oct-12,USA,R,6.8,110 min,"Directed by Scott Derrickson. With Ethan Hawke, Juliet Rylance, James Ransone, Fred Dalton Thompson. Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.",Ethan Hawke|Juliet Rylance|Fred Dalton Thompson|James Ransone|Michael Hall D'Addario|Clare Foley|Rob Riley|Tavis Smiley|Janet Zappala|Victoria Leigh|Cameron Ocasio|Ethan Haberfield|Danielle Kotch|Blake Mizrahi|Nicholas King,English,"Los Angeles, California, USA","$3,000,000 "
Truth or Dare,Truth or Dare,en,"A harmless game of ""Truth or Dare"" among friends turns deadly when someone—or something—begins to punish those who tell a lie—or refuse the dare.","First you play the game, then the game plays you.",2018-04-12,/ei2waWQAG8NP244WShIFgGu9IOu.jpg,63.521,3562,6.0,3500000,95330493,101,Released,False,/tAl3Bhs3kMDmIuH3liEPBMPgfmG.jpg,"Horror, Thriller",,,truthordare,Truth or Dare, Horror,1-Sep-13,USA,NOT RATED,5.2,84 min,"Directed by Jessica Cameron. With Jessica Cameron, Ryan Kiser, Heather Dorff, Shelby Stehlin. Six college kids find internet stardom when they make ""Truth or Dare"" videos with a violent twist. It is all fun and games until their number one fan decides he wants to play by his own rules.",Jessica Cameron|Ryan Kiser|Heather Dorff|Shelby Stehlin|Devanny Pinn|Brandon Van Vliet|Jesse Wilson|Buz Wallick|Grae Drake|Brett Wagner|Brian Olea|Ray C. Merrill|Patrick Bean|Tia Bean|Martina Bell,English,"Los Angeles, California, USA",
Underworld: Blood Wars,Underworld: Blood Wars,en,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",Protect the Bloodline,2016-11-24,/sDupSRbqxJhSrjKQI33w7Fd8Owz.jpg,63.45,3221,5.8,35000000,81093313,91,Released,False,/dxyUN2kMhr0gMBKQpE79Z4sWAp5.jpg,"Action, Fantasy, Horror, Thriller",2326.0,Underworld Collection,underworldbloodwars,Underworld: Blood Wars, Action| Adventure| Fantasy| Horror,6-Jan-17,USA,R,5.8,91 min,"Directed by Anna Foerster. With Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver. Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",Kate Beckinsale|Theo James|Tobias Menzies|Lara Pulver|Charles Dance|James Faulkner|Peter Andersson|Clementine Nicholson|Bradley James|Daisy Head|Oliver Stark|Zuzana Stivínová|Brian Caspe|Jan Nemejovský|Sveta Driga,English|Saami,"Prague, Czech Republic","$35,000,000 "
The Autopsy of Jane Doe,The Autopsy of Jane Doe,en,"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",Every body has a secret.,2016-12-21,/6K0wjP8kPCiPYy9PtXBGuypyt5I.jpg,63.234,3423,6.7,0,5972942,86,Released,False,/7GEi50BH2gjWuhoAx55Mmb0f7Vj.jpg,"Horror, Mystery",,,theautopsyofjanedoe,The Autopsy of Jane Doe, Horror| Mystery| Thriller,21-Dec-16,USA,R,6.8,86 min,"Directed by André Øvredal. With Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton. A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",Brian Cox|Emile Hirsch|Ophelia Lovibond|Michael McElhatton|Olwen Catherine Kelly|Jane Perry|Parker Sawyers|Mary Duddy|Mark Phoenix|Sydney,English,"London, England, UK",
